tittle,review,stars
Standar sesuai harga,"Pesawat dari maskapai ini tidak jelek juga tidak sangat bagus. Flight attendant ramah terhadap penumpang. Barang-barang yang ditawarkan untuk dijual juga bagus. Take off dan landing cukup halus. Namun seringkali delay, pengecekan mendadak, dan berbagai alasan lain yang membuat keterlambatan yang tidak seharusnya terjadi.",3
Balikpapan,"Pesawat datang tepat waktu, saya selalu check-in pakai web check-in sebeblumnya. Semoga tidak ada lagi delay dan kendala lainnya di maskapai ini. karena sudah tidak ada lagi tiket murah di , harganya sudah mahal (standard), jadi sisis safety juga harus ditingkatkan.",3
Delay,Pesawat delay . Jadwal take off 19.35 namun delay hingga 20.30 . Untung saja ruang tunggu outdoor membantu merubah mood.,5
Delay all the time,"Pesawat delay terparah seIndonesia Raya, dan tdk bertanggung jawab. Kompensasi utk keterlambatan hanpir tdk pernah sesuai dgn peraturan dari pemerintah. Saya sdh beberapa kali mengalami delay dan sampai lebih dari 3jam, parah.",1
Kurang Puas,"Pesawat dengan ruang kaki cukup lega. Dapat makan, tapi pilihan cuma nasi dan nasi dengan menu daging. Tidak ada opsi lain bagi saya yang vegetarian. Ditawarkan kopi dan teh, ketika saya minta kopi disuruh tunggu katanya lagi refill. Ditunggu tak kunjung datang, pas di tanya lagi, ktnya ud prepare landing. Jadi ya ga kebagian.",2
Lumayan,"Pesawat dengan ruang kaki cukup lega. Dapat makan, tapi pilihan cuma nasi dan nasi dengan menu daging. Tidak ada opsi omelet/mie/sandwich. Jadi saya cm nelen liur aj karena vegan. Opsi minum pun cuma air putih, kopi dan teh ada tapi tidak di tawarkan.",3
landing pesawat yang kasar,"pesawat ekonomi dengan layanan terbang rata-rata, tetapi tidak didukung dengan kedisiplinan penumpang dan pilot yang kurang trampil ketika landing pesawat, sehingga terasa keras dan kasar",3
maskapai ekonomi,"pesawat ekonomi ini dengan harga murah, namun saat di dalam kabin seperti naik bis ekonomi terasa sempit dan gerah / panas. alhamdulilah kita selamat sampai tujuan",3
Hospitality yang baik,"Pesawat Groups , yang paling baik dan bagus yang pernah saya naik adalah  untuk jalur bagian timur, selama ini jalur bagian barat sangat buruk, namun kebetulan saya naik  menuju Jogja dengan pesawat Air bus yang sangat baik yang dilengkapi dengan layanan bagus dan hospitality yang dapat di rekomendasikan.",4
"Penerbangan murah, fasilitas cukup mewah","Pesawat ini cukup bersih. Pramugari juga sangat helpful. Walaupun ini penerbangan murah, namun penumpang diberi 1 kotak berisi roti dan air mineral.

Di dalam pesawat juga tersedia pilihan tontonan seperti musik, film, game. Ruang kaki sangat luas. Kami sangat menikmati menggunakan maskapai ini.",4
pulang dari bali naik ,"pesawat ini delay sekitar 1/2 jam. di pesawat tidak ada hiburan (biasanya batik ada hiburan film, dsb.)... juga tidak ada tempat buat charge HP (di pesawat batik yang lain ada)... untungnya makanan masih diberikan, berupa kue dan roti. Rasa roti dan kue nya standar...",3
Economical Airways tapi tepat waktu,"Pesawat lepas landas tepat waktu dan mendarat tepat waktu. Pesawat-pesawatnya kecil dan mereka memiliki armada tua. Makanan di kapal rata-rata. Mereka tidak menawarkan banyak seperti kita tidak membayar lebih... Sesederhana itu. Pramugari sangat membantu, berpakaian bagus dan disajikan dengan senyum",3
Pesawat yang Lumayan,"Pesawat lumayan nyaman untuk harga yang saya bayarkan tapi delay pesawat terlalu lama, dan tidak ada kompensasi apa apa. Sedih rasanya.",3
Pelayanan cukup bagus tapi sayangnya harga tiket sudah mahal,"Pesawat masih baru, tempat duduk luas dengan hiburan film-film, musik, dll yang cukup bagus, mendapat makanan sekedarnya tanpa minuman, mendapat snack yang sekedarnya. Secara harga lebih mahal di banding sebelumnya namun makanan dan minuman yang di dapat makin berkurang variasinya.",4
On time,"Pesawat on time, pelayanan di kabin baik, penumpang penuh, bagasi terbawa semua dan pada saat waktu mau mendarat ngtidak nyaman",4
"Transit 30 mnt, Kenapa harus Check In ulang?","Pesawat rata2 baru, pilot rata2 masih muda, pengalaman msh dipertanyakan. Yang atidak mengecewakan adalah penerbangan saya dari jakarta menuju tarakan, sdh dpt boarding pass lengkap, transit cuma 30 mnt di balikpapan, tapi penumpang disuruh turun pesawat, terminal di balikpapan itu besar banget, padahal saya sdh setengah berlari, baru masuk ruang tunggu keberangkatan eh sdh ada panggilan masuk pesawat, di pesawat yg sama dan kursi yg sama lagi, trus fungsinya turun pesawat apa?",4
Terbang berbiaya rrendah,"Pesawat tergolong baru, tapi kurang nyaman karena kursinya super duper sempit. Kalau bs milih, mending ambil emergency seat saja supaya lebih longgar.",3
"Maskapai murah, namun perlu lebih disiplin","Pesawat terlambat 45 menit, sehingga saya tertinggal bus terakhir dari bandara dan harus naik taksi, karena pesawat tersebut adalah pesawat terakhir menuju Batam dan bus hanya sampai jam 5 sore. Untuk traveller dengan budget minim, pesawat ini pilihan yang pas, hanya saja persiapkan spare 1-2 jam untuk menentukan destinasi selanjutnya, mengingat seringnya maskapai ini terlambat ",3
Mengerikan,"Pesawat delay hampir dua jam, mereka bahkan tidak peduli untuk menyajikan segelas air. Kami harus membuang botol air di keamanan. Saya tidak akan merekomendasikan  Air. Jika penerbangan didelay dengan jumlah waktu yang gila setiap hari, hal yang paling masuk akal untuk dilakukan adalah mengubah jadwal secara permanen.",1
Sesuai harga,"Pesawat yang banyak peminatnya, meskipun sering delay, tapi maskapai ini tetap ramai aja antrean untuk check in. Pinter sekali marketingnya",3
"Penerbangan Low Cost, High Class","Pesawatnya bagus, dengan layanan yang ramah, waktunya on time, dan yang lebih menyenangkan lagi harga tiketnya terjangkau",4
Batik,"Pesawatnya bagus, pramugari cukup ramah, kebersihan dan kursi pesawat juga sangat baik. Terdapat TV dan in-flight magazine untuk entertainment selama di pesawat. Makan yang didapat juga enak.

Menuju Halim Perdanakusuma, tidak ada fasilitas garbarata. Tapi bus jemputannya sangat cepat datang.",5
budget air,"pesawatnya bagus, pramugari ramah, kebersihan baik, no entertainment, meals lumayan oke, berangkat dari halim perdana kusuma airport, no garbarata facility, .. overall masih recomended flight for safety",4
Kursi lebih lebar,"Pesawatnya banyak yang baru...sehingga nyaman duduknya. Kursinya juga lebih lebar, tidak terlalu berdempetan dengan sebelahnya. Pelayanan kru dari bandara sampai di dalam pesawat oke semua.",4
Belitung - Jakarta - Jogja,"Pesawatnya lebih enak, ada hiburannya, dikasih snack, dan lebih nyaman. Mungkin karena milik  yang bagus dibanding;  Air dan Wings",4
Puasss......,"Pesawatnya okee.... kursi lebar, pelayanan sraff dari awal check in sampai di dalam pesawat pramugarinya sangat membantu. Pada saat pulang pun pilot memberikan salam dan ucapan terimakasih...👍. Terima kasih juga !!!",4
Bad flight,"Pesawatnya sering kena delay, pramugari kurang ramah, kursinya nyaman.. Tapi, yang pengen on time, biasanya selalu delay",3
Tepat Waktu,"Pihak penerbangan on time dengan waktu yang telah dijadwalkan dan sampai ditujuan tepat waktu juga,akan tetapi dikarenakan tidak ada parkir pada saat landing sehingga menunggu cukup lama untuk turun dari pesawat",4
Baik Biaya Rendah,Pilihan Biaya Rendah yang murah dan nyaman untuk terbang ke Taiwan. Itu hanya penerbangan 3 jam dan tepat waktu.,4
Pilih penerbangan pagi biar resiko pesawatnya telat lebih kecil,Pilihan jadwal maskapai ini sangat banyak dan harganya yang sangat terjangkau. Sebaiknya ambil penerbangan di pagi hari karena resiko pesawatnya terlambat (delayed) akan lebih kecil.,3
 Pilihan Untuk Menguadara,"Pilihan penerbangan yang cukup meyediakan banyak jam terbang adalah , sedikit harus sabar kadang harus menunggu antrian pesawat lambat datang.",3
Tarif Biaya Rendah,"pilihan yang baik untuk yang menginginkan biaya tarif yang lebih murah, dengan biaya yang lebih rendah sebenarnya Anda akan mendapatkan layanan yang lebih rendah. Bagi Anda orang Eropa, Timur Tengah atau Amerika, pastikan Anda siap duduk di tempat duduk yang sempit. Semoga penerbanganmu menyenangkan!!",3
tepat waktu karena penerbangan pertama,pintu pesawat hanya 1 dan terletak di bagian belakang. Penerbangan tepat waktu karena penerbangan pertama dan pesawat menginap di bandara Mamuju. pilih bangku bagian belakang karena dekat pintu keluar.,3
tepat waktu karena penerbangan pertama,pintu pesawat hanya 1 dan terletak di bagian belakang. Penerbangan tepat waktu karena penerbangan pertama dan pesawat menginap di bandara Mamuju. pilih banku bagian belakang karena dekat pintu keluar.,3
Baru Kali ini  dapat Jempol,Pnerbangan pertama di pagi hari membuat  bisa On Time dan ini yang membuat saya bisa memberikan Jempol,3
Maskapainya rakyat banyak,"Poin penting dari maskapai  adalah, penerbangan yang low cost. Jadi wajar saja jika sangat menjadi primadoni mayoritas pengguna jasa transportasi udara untuk efisiensi. Alasan yang logis. Meski begitu,  cukup nyaman dan baik. Stafnya sangat ramah dan sabar. Membantu semua penumpang bahkan saat menyimpan bagasi. Mungkin kelemahannya hanya soal delay yang cukup sering. Meski demikian, tetap saja masih banyak yang memilih . Semoga management  segera memperbaiki management agar lebih rapi sehingga selain jadi primadona low costing, juga primadona pelayanan. No delay more (dilema) hehe",4
Orientasi Pelanggan Dalam Penerbangan yang Buruk,Pramugari adalah robot dan tidak menawarkan bantuan untuk membawa penumpang selama boarding. Interaksi dengan penumpang tidak memiliki hubungan 'penyedia layanan pelanggan'. Pramugari menghabiskan waktu bergosip dengan pilot yang mematikan alih-alih menghabiskan waktu memperhatikan kenyamanan pelanggan.,1
KL TRIP,"pramugari nya ramah ramah. makanan nya enak terus harga nya terjangkau lah. kursi nya ya lumayan lah, kan kelas ekonomi wekwek",5
LAYANAN PRAMUGARI YANG RAMAH,"Pramugari yang sopan, santun, bersedia membantu penumpang lanjut usia & tidak kenal lelah mengarahkan penumpang yang kekurangan kabin untuk tas mereka yang besar-besar...",5
honeymoon,"pramugarinya cantik dan ramah, perjalanannya juga enak, ada monitor untuk menonton film dan music, diberikan snack juga berupa roti dan air mineral. untuk headset harus beli. untuk jadwal penerbangan tidak delay",4
Singa,"Proses Cek in di mesin dan lancar, boarding on time tidak seperti image sebelumnya. Suasana kabin kesannya sempit. Pramugarinya cantik cantik. Take off lancar dan landing halus mulus. Cuaca di sekitar Soekarno Hatta sedikit berawan.",3
alternative penerbangan yang murah,"proses cek in sampai dengan takeoff berjalan dengan lancar dan tepat waktu. staff kabinnya lumayan ramah, tidak ada hiburan apa2 di pesawat hanya ada majalah.",3
Penerbangan domestik pendek yang menyenangkan,"Proses check in dan layanan di pesawat sangat mengagumkan. Mengingat harga penerbangan, kami diperlakukan lebih sebagai penumpang kelas satu!",5
Ontime,"Puas dengan layanan  , jam terbang ontime dan benar-benar Indonesia banget dengan crew cabin yang menggunakan nuansa batik, crew cabin yang sangat ramah.",5
sangat menyenangkan,"pulang dari Lombok menuju jakarta take off 12:55 ontime, dari proses boarding sampai di pesawat seusai dengan harapan. keramahan pramugari-pramugarinya dalam melayani penumpang sangat bagus dan excellent banget pokoknya. Entertainment di pesawat juga lumayan terhibur namun harus bawa earphone kalau tidak ada bisa membeli dari pramugarinya, dan menu set makanan lumayan rasanya. pelayanannya lebih baik lagi ke depannya.",4
Perjalanan yg menyenangkan,"Pulang menuju Jakarta kami menggunakan maskapai  dg jadwal penerbangan jam 11.55 waktu Singapore. Batik merupakan maskapai yang termasuk ontime dan kebetulan kami berangkat dari apartmen jam 10, untung tidak ada hambatan lalu lintas shg kami tiba di changi. Dan lihat pemberitahuan kalau gate telah open. Untung proses check in cepat dan proses imigrasi nya lancar. Jam 11.20 penumpang disuruh masuk ke pesawat. Kami beruntung mendapat tempat duduk di bangku depan setelah kelas bisnis. Nyaman sekali karena kaki bisa selonjoran. Awak kapal wanita sangat ramah dan enak dipandang. Cuma karena ini perjalanan singkat kami hanya diberikan Roti dan air putih. Dulu Batik pernah memberikan menu makanan lengkap. Kami tiba di Soetta sesuai jadwal. memang oke",4
Menyenangkan dengan putri.,"putri saya usia 8 tahun senang dan gembira sekali menggunakan  sambil menunggu keberangkatan di Lounge , kemudian main game di pesawat dan menikmati makanan yang disajikan.",5
Recommended,"Recommended!! Pelayanan, makanan, dan juga hiburan semua sangat baik dan mmbuat nyaman untuk selalu terbang bersama . Free makanan jugaaa",4
Pengalaman Kapok  Air yang Merusak Rencana Liburan,"Rencana liburan yang tadinya menyenangkan justru jadi stress karena kasus  Air delay parah tanpa kejelasan sekitar setahun lalu (sekitar Februari/Maret). Setelah digantung tanpa petugas satupun di bandara dan tanpa kejelasan dari pihak maskapai, kami harus ganti pesawat dan proses refund tidak kelar-kelar selama 8-9 bulan. Hal itu membuat kapok dengan maskapai satu ini.",2
" is on time, service so so","Review  Business Class A320
Pengalaman pertama kalinya terbang dengan maskapai enih.

Check in kagak ditanya mo duduk dimana langsung aja blom sempet ngomong dah dikasi ndere ma staffnya. Gak ada counter khusus buat business class cuma ada karpet merah ma biru, gw bodo amatlah yg mana ajah.
Di Bali lounge  kagak ada jadi nongkrong ajalah keleleran kayak biasa.

Pas boarding kagak ada yg khusus buat business class, kagak enak lah mo motong orang yg udah antri duluan jadi gw ngikut antri aja rapopoh.

Cabin business class cakep seperti maskapai lain pada umumnya, di cabin ini ada 12 kursi. Terisi cuma 5. Tv layar cukup gede, tapi ada tulisannya : maap ye hiburan selama penerbangan kagak ade alias tidak tersedia, lah tipinya ada, program gak ada ya gw ngaca2 aja ndere di tipihnya kali aja jerawat gw yg kmaren dah sembuh🤣🤣

Mbak nya kasi hot towel & edarin minuman guava jus gakda pilihan, gak sampe semenit dah balik lagi nanya dah slesai? Ya belom dong mang gw mobil pemadam kebakaran ngisep aernya cepet.
Gw balikin aja jus jambunya kagak diminum.

Take off on time, catet!!

Trus disediain makan lg dateng mbak nanya momakan gak? Mak blg iyah, dikasi alas mejanya trus dbawain pilihan nasi goreng apa nasi ma tempe ma sambel ma telor goreng stengah.
Di warung depan rumah gw yg ginian namanya nasi kucing marebuan.
Mak pilih nasi ma tempe itu, gak ada rasa, krupuk jg gak ada, adanya pisang, ma kue coklat diplastikin rasanya kayak bronis bantet, minta apel jus gak ada, adanya aer putih. Ini business class apa apa yak🤣🤣

Lom slese banget dah dateng lg nanya udah lom, ya gw udah aja dah🤣🤣 daripada tar gw disuru nyuci piringnyah kalo lelet2.

Positifnya : on time, lebih murah daripada maskapai yg enoh business class nya.

Verdict : There is a lot of room for improvement...
Bakal naik lagi pa gak?

Gw naik ini karena maskapai enoh kmaren bermasalah delay kabeh gak dikompensasi katanya, ya mending gw naik yg on time.
Kalo berbisnis kan ketepatan waktu itu nomor satu, mo ekonomi, bisnis, first ato di sayapnya kek lebih baik tepat waktu dan slamet daripada mana mahal mana telat moloo, gak ada kabar.

Overall : mayanlah wkwk",4
nyaman,"ruang duduk yang memadai, sarana hiburan di kabin yang bagus, serta layanan yang ramah,  bisa jadi referensi penerbangan anda",4
On Schedule,"Ruang kaki (jarak antar kursi) lega, ada hiburan selama penerbangan dari BPN - HLP. hanya saja dari HLP - SRG tidak ada, mesti diimprove lagi kelengkapannya. Menu makan siang kurang berasa, apalagi roti dari HLP-ke SRG, perlu diimprove. Jadwal sudah bagus jamnya, hanya harganya masih mahal.",5
dapatkan perjalanan yang bersahabat dengan kantong,"ruang kaki cukup lega, kursi cukup nyaman. dan tepat waktu ketika rute internasional. tapi untuk rute domestik saya pribadi sering kena delay dengan maskapai ini.",4
jangan duduk di bagian paling belakang pesawat,"Ruang kaki  air adalah 29 inci.. yang merupakan standar untuk orang Indonesia normal, tetapi karena saya tidak terlalu ""normal"" (saya 183cm), jadi 29 inci cukup sempit. Tapi, pada penerbangan itu, saya tidak tahu bagaimana teman-teman saya yang melakukan check-in menempatkan saya di kursi paling belakang pesawat, yaitu 737-900 ER. Dan entah bagaimana ruang kaki di baris itu pasti kurang dari 29 inci.. mungkin 26... karena saya tahu itu masih jauh lebih kecil dari ruang kaki airasia yang 28 inci..jadi jika Anda bukan orang Indonesia yang ""normal"" ... pastikan Anda tidak duduk di bagian paling belakang pesawat. Selalu minta baris darurat...",3
Thai  Air,"Ruang kaki mengerikan, benar-benar tidak ada ruang di antara baris. Staf sangat ramah. Cepat masuk. Biskuit dan air gratis. Sudah termasuk bagasi 15 kg dan saya hanya membayar 625 THB ! Tas tangan terbatas 20x30x40 cm yang sangat kecil. Tiba tepat waktu.",2
Saya pikir Spirit seburuk yang didapat,"Ruang kaki sangat buruk, dan punggung saya yang sakit bukanlah penopang terbaik (mengingat jarak kemiringannya sekitar satu inci ke belakang). Layanan ini tidak kasar, tetapi juga tidak ramah. Dan saya juga tidak bisa mengatakan bahwa saya merasa baik tentang uji coba itu. Sejauh ini turbulensi paling parah yang pernah saya alami... tanpa penyebab yang jelas. Secara keseluruhan, bukan pilihan yang baik... tidak peduli seberapa besar tawaran yang mungkin Anda cari. (dan Anda harus membayar tas dan bahkan air)",1
Delay juga,"Ruang tunggu batik khusus di lantai 2, penuh ramai. Ruang tunggu ada resto dan outlet makanan minuman. Ternyata  juga delay dengan alasan operasional. Harusnya perbaiki manajemen waktu terbang.",3
penerbangan bisnis n keluarga,"rute NonStop dan penerbangan tepat waktu yang biasa saya tumpangi via  PP antara lain Lombok - Jakarta 17, Oct  6659,PNR WHYMDP,  2 May PNR NTQROV, sangat memuaskan dan menikmati pernerbangan yang sebenarnya. thank's",4
Delay selama 5 jam di Bali,"Rute penerbangan saya adalah Bali-Jakarta menghubungkan penerbangan Jakarta-Palembang. Saya berangkat ke bandara pada jam 6 pagi untuk penerbangan jam 8 pagi dan seharusnya tiba di Palembang pada jam 12:45 waktu setempat. Itu delay selama 4 jam dan setelah naik, kami harus menunggu satu jam lagi di pesawat. Total 5 jam delay di Bali dan tiba di jakarta, penerbangan saya berubah menjadi penerbangan berikutnya ke palembang, saya harus menunggu 3 jam lagi dan delay selama satu jam lagi. Saya membuang waktu saya di bandara dan saya tiba di Palembang sekitar jam 7 malam. Saya menyia-nyiakan hari saya dan mereka bahkan tidak memberi Anda kompensasi apa pun untuk delay yang lama ini. Bahkan sebotol air pun tidak.",2
Maskapai terlengkap untuk menjelajahi indonesia timur dari Semarang,"Rute yang ditawarkan untuk ke Indonesia Timur cukup lengkap. Apalagi penerbangan dari semarang, maskapai ini merupakan yang termurah dan selalu ada. Hanya saja harus sedia bekal karena transit yang berulang kali dengan waktu terbatas dan penerbangan hampir setengah hari plus waktu tunggu boarding tanpa fasilitas makanan selama penerbangan cukup mengurangi kenyamanan. tapi bisa disiasati dengan persiapan bekal.",3
Tetap dipilih karena murah walaupun delay,"Rutin naik  minggu malam menuju Denpasar dari Yogya, siap2 lah untuk mengalami delay, namun tetap saya pilih karena hanya ini penerbangan murah yang tersedia, selama terbang usahakan tidur, karena tidak ada yang bisa kita nikmati selama penerbangan. Apabila punya dana berlimpah dan ingin menilkmati penerbangan...jangan naik ini ya.",3
Terbang dengan  Air,"Saat ada tugas bisnis untuk ke Jakarta, saya terbang menggunakan  Air. Penerbangan saat itu dilakukan pagi hari, sekitar jam 7 pagi, dan pesawat saat itu, jadwal nya on time, dan pelayanan bagus, tidak ada masalah, pilot yang menerbangkan pesawat sangat bagus saat mendaratkan pesawat, karena tidak ada goncangan yang keras saat menyentuh landasan.",5
Penerbangan nyaman,"Saat antri panjang, petugas cekatan dan dibuka antri di kelas bisnis. Para petugas ramah. Di dalam pesawat nyaman. Hanya saja saat itu entertaint di pesawat sedang rusak. Jadi tidak bisa menonton film",4
 AIR TIDAK:T BIARKAN AKU TURUN!,"Saat bepergian untuk menjelajahi lebih banyak Indonesia - yang luar biasa masih sangat alami di banyak bagian dan sangat mendidik jika Anda tertarik dengan budaya, makanan, dan atraksi yang berbeda ---- Saya terpeleset dan pergelangan kaki kanan saya terluka parah. Saya tiba di bandara dengan kursi roda dan staf  AIR mengambil alih penderitaan saya dengan belas kasih, rahmat, dan kepercayaan yang tak terlupakan. Meninggalkan bandara Denpasar, pesawat tepat waktu. Kru semua menawan dan sangat membantu. Pulang, tidak ada delay, layanan hebat, perhatian pada masalah saya dan terus menindaklanjuti dengan pertanyaan SMS tentang kemajuan saya. Saya tidak bisa menyalahkan  AIR dan menyarankan Anda mencobanya..",5
sering terjadi delay,"saat berangkat jam 6 pagi dari banda aceh menuju medan penerbangan tepat waktu, namun ketika sampai di medan dan akan melanjutkan penerbangan tujuan bandung pesawat mengalami delay yang sangat lama, bahkan kami merasa kecewa sekali dengan pelayanannya.",2
"delay 1,5 jam","saat berangkat on time. justru saat pulang terjadi delay 1,5 jam karena alasan operasional. maskapai memberikan snack. namun perlu diperhatikan manajemannya supaya lebih baik.. bagasi kabin penumpang terlalu over dan tidak di cek dengan teliti. banyak ukuran tas yang harusnya masuk bagasi dan bukan di kabin.. harga bagasi perlu diturunkan",3
harga bersaing,"saat butuh tiket pesawat yang mendadak  air adalah harga yang paling murah, selama saya sering naik  overall pelayanan bagus semua.",4
Padat sekali saat check in,Saat check in di Soekarno Hatta sangat padat sekali. Layanan dalam pesawat garing banget. Atmosfirnya terasa panas. Ruang kaki juga sempit. Hanya saat online beli tiket muraah sekali. Dapat menjadi pilihan disaat bokek.,2
Antri Chekin Lama,"Saat Chekin Ampun ramehnya membeludak, dan petugas chekin nya lambat bangat, membutuhkan waktu hingah satu jm padahal saya cuma chekin tanpa bagasi, tolong diperbaiki poetugas yang dibandaranya, terimakasih.",3
lumayan,"Saat diundang untuk suatu acara ke Malang, saya memilih penerbangan pagi dari Halim karena lebih dekat dari Bogor dan pilihan saya yang cocok jadwalnya adalah . Pelayanannya lumayan bagus dan penerbangannya on schedule",4
Maskapai penerbangan paling delay dalam sejarah waktu,"Saat ini duduk di bandara Lombok dengan penerbangan saya seharusnya lepas landas dalam 5 menit namun bahkan belum meninggalkan tujuan sebelumnya. 2 jam terlambat datang di Lombok dan 3 jam terlambat pulang. Sebuah lelucon mutlak dari sebuah maskapai penerbangan yang memiliki masalah delay kronis, setiap penerbangan setidaknya satu jam delay kecuali untuk penerbangan pertama hari itu. Penjadwalan penerbangan benar-benar memalukan dengan biasanya hanya 5 menit dijadwalkan untuk perputaran, yang lucu. Marah pada diriku sendiri karena terbang bersama mereka kali ini. Secara harfiah setiap maskapai penerbangan adalah pilihan yang lebih baik. aku keluar.",1
"Delay, namun harga terjangkau","saat itu  air memiliki harga termurah. namun pada saat boarding, ternyata delay selama kurang lebih 1 jam. tetapi  air memiliiki banyak pilihan jadwal penerbangan. kursinya pun rata2 seperti maskapai penerbangan murah pada umumnya.",2
maskpai yang paling sering trouble yang paling saya alami,"saat itu saya ingin mendaki gunung rinjani dan saat saya tiba di lombok tas besi punggunguntuk tas gunung saya patah, sedangkan saya sudah tidak punya waktu lagi untuk mencari tas baru, karena jadwal saya sudah tersusun rapi untuk pendakian ini, alhasil saya mengikat tas saya dan tetap menggunakannya untuk mendaki gunung rinjani naik turun. saya benar2 kecewa dengan sistem keamanan bagasi di  air. mohon ada tindakan tegas atau pendisiplinan utk pegawai2 disana.. untuk harga memang saya akui  air yang berani membanting harga dibanding pesawat lain, namun harap jangan melupakan kulitas hanya untuk mengejar keuntungan",2
Delay hampir 6 jam,"Saat itu saya menggunakan  air penerbangan denpasar-jakarta. Seharusnya penerbangan jam 18.15 wita tapi ada pengumuman delay sampai jam 20.00 wita. Saat jam 20.00 wita ada pengumuman lagi kalau delay tapi tidak jelas keberangkatan jam berapa. Kalau ada penumpang yang ingin membatalkan perjalanan diperbolehkan. Tapi karena saat itu saya tidak bisa menunggu sampai penerbangan keesokan hari, terpaksa saya tetap menunggu pihak  air memberangkatkan saya beserta ratusan penumpang lain malam itu juga. Karena telah delay selama lebih dari 4 jam pihak  air memberikan uang kompensasi sebesar Rp 300.000,- dan juga makanan berupa nasi bungkus. Akhirnya setelah mengantri untuk menerima uang kompensasi tersebut saya beserta ratusan penumpang lainnya diberangkatkan ke jakarta sekitar jam 24.00 wita. Penantian yang cukup melelahkan selama hampir 6 jam sehingga membuang waktu dan energi.",2
Penerbangan pagi yang ontime,Saat itu saya penerbangan pagi ke denpasar. Saat akan terbang memang tidak begitu nyaman dan terasa sekali getarannya termasuk saat tiba dan mendarat.,3
Beda harga sedikit tapi nyaman,"Saat memilih penerbangan dari Jakarta ke Jogjakarta ada banyak pilihan dari harga yang paling murah sampai paling mahal. Berdasarkan pengalaman sebelumnya saya putuskan pilih . Karena ada in flight movie, ruang kaki lebih lapang, dan ada makanan ringan.",4
Tidak ada lagi pelayanan khas ,"Saat pertama kali  memperkenalkan layanan kelas bisnis, berbagai layanan ditawarkan seperti akses lounge gratis (di JOG lounge yang didapat yaitu Diamond), pemandu dan sebagainya. Saat saya terbang besama batik kali ini, layanan pemandu dan akses lounge telah dihapus. Yang dipertahankan hanyalah checknin counter khusus dan bagasi 30kg. Untuk layanan onboard tetap sama, beruntunglah saya masih menaiki airbus A320 yang terpasang IFE (sebab beberapa fleet batik kini tak dilengkapi IFE). Welcome drink nya jus jambu dan kacang. Untuk infligtmeal kali ini mendapat chicken nugget dan lumpia. Pilihan minuman hanya tersedia air mineral dan jus jambu. Pelayanan saat sampai untungnya masih ada. Kita tinggal menunggu dan biarlah petugas yang ambilkan. Overall menurut saya jika memang ingin mendapatkan bagasi lebih banyak dan diambilkan, ruang kaki lebih lega dan kursi lebih nyaman tanpa peduli makanan ataupun lounge,  boleh jadi pilihan",3
Penerbangan delay,"Saat sampai di gerbang, diberitahu oleh agen gerbang bahwa penerbangan akan delay selama 45 menit karena perubahan peralatan. Ini berakhir 2 jam dalam delay keberangkatan. Pada saat kedatangan membutuhkan waktu lebih dari 1 jam untuk menyelesaikan imigrasi, untungnya tidak ada koneksi untuk ditangkap.",2
Maskapai yang mengecewakan,"Saat saya akan meninggalkan Surabaya menuju Lombok pelayanan yang diberikan oleh pihak maskapai  sangat merugikan dan mengecewakan saya. Pada saat itu jam belum menunjukkan boarding time, tetapi mereka sudah melakukan Last Call kepada saya dan teman saya. Pengalaman yang sangat mengecewakan.",1
Maskapai penerbangan terburuk di planet ini!,"Saat saya duduk di gerbang memasuki jam ke-9 keterlambatan kami untuk penerbangan 30 menit, saya bertanya-tanya siapa yang mengizinkan kumpulan penipu yang tidak terorganisir, kasar, dan malas ini untuk menjalankan maskapai penerbangan. Kami tiba di bandara untuk penerbangan 1055 kami untuk diberitahu bahwa itu bukan ' t akan sampai 1830. Tidak ada alasan yang diberikan untuk delay 7 setengah jam ini, tidak ada permintaan maaf, tidak ada upaya untuk membantu atau memberikan kompensasi. Yang terbaik yang kami dapatkan adalah â€œkami menghubungi semua nomor Indonesia untuk penumpangâ€ . Oh ya? Besar! Bagus kamu! Satu kelemahan besar, kami bukan orang Indonesia dan Anda sekarang telah menyia-nyiakan satu hari penuh perjalanan kami! Semua penerbangan lain sudah dipesan dan kapal cepat tidak beroperasi, jadi kami mengundurkan diri untuk seharian di mal. 2 taksi dan 6 jam kemudian kami tiba kembali, keamanan jelas, sampai ke gerbang hanya untuk mengubah papan untuk mengatakan itu akan menjadi satu jam lagi sebelum pesawat tiba di sini untuk ....... Anda dapat menebaknya. ....tidak ada alasan yang diberikan. Ini penerbangan 30 menit! Apa yang begitu sulit! Hotel kami yang sudah lama menderita di ujung lain mengatur transfer kami sama-sama dipadamkan karena kami memiliki sopir yang menunggu. Sekali lagi permintaan maaf? Tidak. Penjelasan? Tidak. Adakah tawaran bantuan atau kompensasi? Oh tidak. Jebakan normal dari maskapai fungsional? Tidak satu pun. Saya harap kita akan tiba di Lombok suatu saat nanti, saya bisa mendayung di sana sekarang. Gunakan maskapai lain mana pun!!",1
Kursi roda,Saat saya menyampaikan emak saya butuh kursi roda pada petugas check in maka saya disuruh urus ke satu ruangan yang dia tunjuk ruangannya. Karena jika dengan Penerbangan lain pasti langsung diurus dan kita tinggal duduk manis dijemput kursi roda maka saya terkejut dengan respon seperti itu.,3
